company_name,location,job_title,source,job_url,applied_date,salary_range,current_status,status_date,note_details,note_date,skills_needed
Grab,Kuala Lumpur,Graduate Software Engineer,LinkedIn,https://example.com/grab-grad-software-engineer,2026-07-01,"RM 4,000 - RM 6,000",Applied,2026-07-01,"Need to follow up if no response after two weeks.",2026-07-02,"Python, SQL, Git, REST API"
AirAsia,Kuala Lumpur,Junior Backend Developer,Company Website,https://example.com/airasia-backend-developer,2026-07-03,"RM 4,500 - RM 6,500",Online Assessment,2026-07-06,"Prepare API and database questions.",2026-07-06,"Java, Spring Boot, SQL, PostgreSQL"
Maybank,Kuala Lumpur,Data Analyst,LinkedIn,https://example.com/maybank-data-analyst,2026-07-05,"RM 4,000 - RM 5,800",Interview,2026-07-12,"Review dashboard and Excel case study questions.",2026-07-10,"SQL, Excel, Python, Power BI"
Shopee,Kuala Lumpur,Software Engineer Intern,LinkedIn,https://example.com/shopee-software-intern,2026-07-08,"RM 1,500 - RM 2,500",Applied,2026-07-08,"Internship role, check email regularly.",2026-07-08,"Python, JavaScript, Git, Data Structures"
Petronas,Kuala Lumpur,Cloud Engineer Graduate,Company Website,https://example.com/petronas-cloud-engineer,2026-07-10,"RM 4,500 - RM 6,800",Saved,2026-07-10,"Need to customize resume for cloud role.",2026-07-10,"AWS, Docker, Linux, Networking"
CIMB,Kuala Lumpur,Junior Data Engineer,Referral,https://example.com/cimb-data-engineer,2026-07-11,"RM 4,800 - RM 7,000",Applied,2026-07-11,"Ask referral contact about team expectations.",2026-07-11,"Python, SQL, ETL, PostgreSQL"
Canva,Sydney,Frontend Developer Graduate,LinkedIn,https://example.com/canva-frontend-grad,2026-07-13,"AUD 80,000 - AUD 95,000",Rejected,2026-07-20,"Rejected after resume screening.",2026-07-20,"React, TypeScript, JavaScript, HTML, CSS"
Atlassian,Sydney,Graduate Software Engineer,Company Website,https://example.com/atlassian-grad-software-engineer,2026-07-14,"AUD 85,000 - AUD 100,000",Online Assessment,2026-07-17,"Practice coding assessment questions.",2026-07-16,"Java, Python, Algorithms, Git"
Wise,Kuala Lumpur,Backend Engineer,LinkedIn,https://example.com/wise-backend-engineer,2026-07-15,"RM 6,000 - RM 9,000",Interview,2026-07-22,"Prepare system design basics and API discussion.",2026-07-21,"Java, Kotlin, SQL, Microservices"
Deloitte,Kuala Lumpur,Technology Analyst,Company Website,https://example.com/deloitte-technology-analyst,2026-07-16,"RM 4,000 - RM 6,000",Applied,2026-07-16,"Consulting-style role, prepare behavioral answers.",2026-07-16,"SQL, Python, Excel, Communication"
Accenture,Kuala Lumpur,Application Developer Associate,LinkedIn,https://example.com/accenture-application-developer,2026-07-18,"RM 3,800 - RM 5,500",Ghosted,2026-08-01,"No reply after two weeks.",2026-08-01,"Java, SQL, Spring Boot, REST API"
Google,Sydney,Software Engineering Intern,Company Website,https://example.com/google-software-intern,2026-07-20,"AUD 90,000 - AUD 110,000",Saved,2026-07-20,"Need stronger algorithms practice before applying.",2026-07-20,"C++, Python, Algorithms, Data Structures"
